41190|1|8197|UMUTTEPE-İZMİT-KÖRFEZ-YUKARI HEREKE
41716|1|8150|ÇARŞI-DİŞ HASTANESİ-DEVLET HAST.-ŞİRİNKÖY
41700|1|8069|ÇAYIROVA TREN İST.-KENTÖNÜ-GEBZE-O.GAZİ KÖPRÜSÜ-K.MÜRSEL-D.DERE-GÖLCÜK
41717|1|8029|ÇARŞI-DİŞ HASTANESİ-DEVLET HAST.-ŞİRİNKÖY
41409|1|7981|BARIŞ MAHALLESİ - İSTASYON
41418|0|7967|İSTASYON - YENİKENT
41250|1|7960|SABİHA GÖKÇEN HAV. - OTOGAR
41145|1|7954|UMUTTEPE-D.BANKASI-ŞEHİR HASTANESİ-HALKEVİ-60 EVLER
41054|0|7857|BAĞÇEŞME-GÜNEY TERMİNALİ
41490|0|7838|MUALLİMKÖY - GEBZE - GTÜ - FATİH TREN İSTASYONU
41656|1|7787|GÖLCÜK   - YENİKÖY
41086|0|7783|BATI TERMİNALİ-TREN GARI-ÇAYİRKÖY
41509|1|7634|GEBZE - ATATÜRK CAD. - İMKB LİSESİ - BAYRAMOĞLU
41652|1|7597|İZMİT(YENİ YOL) - YENİKÖY
41215|0|7595|HACIHALİM - İZMİT
41801|0|7586|İZMİT OTOGAR - KANDIRA OTOGAR
41212|1|7566|İZMİT - BAHÇELİEVLER
41642|0|7563|DÖNGEL - İZMİT(YENİ YOL)
41013|0|7526|ALİKAHYA - UMUTTEPE
41426|1|7517|TATLIKUYU KAPALI PAZAR - GEBZE - BALÇIK 
41163|1|7500|OTOGAR-İZMİT-95 EVLER-İLİMTEPE
42550|1|7385|DARICA - ÖZGÜNKENT
41397|1|7329|EMNİYET MÜD.- OTOGAR - GEBZE -TEPECİK
41412|0|7312|BEYLİKBAĞI - GEBZE - ADALET SARAYI - MUTLUKENT - SGK
41801|1|7309|KANDIRA OTOGAR - İZMİT OTOGAR
41750|0|7294|KARAMÜRSEL-GÖLCÜK-İZMİT-UMUTTEPE
41713|1|7285|DEVLET HAST.- SAHİL CAD.-TELEKOM-SARAYLI
41700|0|7250|GÖLCÜK-D.DERE-K.MÜRSEL-O.GAZİ KÖPRÜSÜ-GEBZE-KENTÖNÜ-ÇAYIROVA TREN  İST.
41251|0|7237|SUADİYE - İZMİT
41435|1|7233|UMUTTEPE - İZMİT -  KBB GEBZE GARAJ
41671|1|7172|GÖLCÜK - YAZLIK
41026|0|7153|YUVAM AKARCA-OTOGAR-ALİKAHYA-KAVANIUM-BATI TERMİNALİ
41287|1|7150|İZMİT - ORMANYA-EŞME
41281|1|7121|İZMİT-İBRİK D.-ORMANYA-UZUNTARLA
41204|1|7092|İZMİT-ARSLANBEY-RAHMİYE-SUADİYE-DERBENT-MAŞUKİYE
41214|1|7083|İZMİT - TEPECİK-İSTASYON
41182|1|7081|YUKARI HEREKE-KIŞLA DÜZÜ-AŞAĞI HEREKE
41713|0|7036|SARAYLI-TELEKOM-SAHİL CAD.-DEVLET HAST.
42041|0|6981|SAHİL OTOPARK - BALIKHAN - LEYLA ATAKAN CAD. CUMHURİYET PARKI - SEKAPARK
