41431|41 BR 431|2926
42157|41 J 4023|2923
41376|41 BR 376|2922
42711|41 J 4009|2919
41502|41 AIG 502|2918
41543|41 AIG 543|2912
41806|41 AUJ 806|2911
41740|41 ATT 740|2911
41568|41 AIG 568|2911
41742|41 ATT 742|2910
41636|41 AKN 636|2907
42125|41 J 4093|2905
42384|41 J 4208|2904
41769|41 ATT 769|2904
41535|41 AIG 535|2902
41735|41 ATT 735|2897
42503|41 J 4364|2896
41629|41 AKN 629|2896
42285|41 HO 4902|2895
46036|41 HN 353|2891
41749|41 ATT 749|2890
42682|41 J 4357|2889
42444|41 J 4076|2888
41637|41 AKN 637|2886
41620|41 AIG 620|2874
41027|41 HB 627|2872
29055|41 ABT 721|2872
41714|41 ARM 714|2871
41768|41 ATT 768|2867
41155|41 PN 184|2863
42390|41 J 4102|2855
25526|41 HO 6548|2855
41712|41 ARM 712|2855
42147|41 J 4013|2852
42603|41 J 4131|2851
42546|41 J 4091|2844
41607|41 AIG 607|2840
42153|41 J 4019|2838
42654|41 J 4014|2837
41278|41 BR 278|2836
41747|41 ATT 747|2835
42715|41 J 4359|2831
10129|41 VA 946|2830
42564|41 J 4083|2828
43166|41 J 6059|2826
42704|41 J 4030|2824
41809|41 AUJ 809|2824
41775|41 ATT 775|2823
42131|41 J 4099|2820
42752|41 J 4016|2818
42135|41 J 4001|2817
41725|41 ATB 725|2817
42166|41 J 4032|2812
41596|41 AIG 596|2811
42738|41 J 4002|2809
41409|41 BR 409|2807
41767|41 ATT 767|2807
42774|41 HO 4548|2804
41628|41 AKN 628|2801
41625|41 AKN 625|2798
41746|41 ATT 746|2794
42742|41 J 4104|2788
42255|41 J 4088|2787
41646|41 AKN 646|2784
42724|41 J 4097|2782
41576|41 AIG 576|2782
41569|41 AIG 569|2781
41578|41 AIG 578|2775
42266|41 J 4086|2774
41595|41 AIG 595|2774
42076|41 HO 4918|2773
41314|41 BR 314|2773
41536|41 AIG 536|2773
10198|34 COD 952|2773
41267|41 BR 267|2770
41340|41 BR 340|2769
41600|41 AIG 600|2769
42614|41 J 4221|2768
41631|41 AKN 631|2766
42067|41 J 4147|2763
41721|41 ATB 721|2763
41526|41 AIG 526|2763
41727|41 ATB 727|2761
41715|41 ARM 715|2761
41722|41 ATB 722|2759
41324|41 BR 324|2757
41320|41 BR 320|2757
10136|34 DD 3017|2753
42417|41 J 4028|2752
41521|41 AIG 521|2752
42498|41 J 4090|2749
41745|41 ATT 745|2748
41599|41 AIG 599|2747
41560|41 AIG 560|2746
41730|41 ATT 730|2745
41583|41 AIG 583|2744
41557|41 AIG 557|2743
41540|41 AIG 540|2742
42437|41 J 4120|2739
41624|41 AKN 624|2739
41329|41 BR 329|2738
41247|41 BR 247|2733
42582|41 J 4232|2732
41723|41 ATB 723|2730
47571|41 J 0495|2729
41674|41 ALL 674|2729
46013|41 SE 832|2726
41162|41 PN 214|2726
41737|41 ATT 737|2725
42776|41 J 4065|2724
41777|41 ATT 777|2724
41705|41 ALL 705|2723
41435|41 BR 435|2720
42566|41 J 4071|2716
41326|41 BR 326|2715
41551|41 AIG 551|2714
42407|41 HO 4921|2713
42295|41 J 4205|2711
42483|41 J 4331|2702
42202|41 J 4068|2701
41549|41 AIG 549|2700
42659|41 J 4268|2699
42660|41 J 4115|2697
41556|41 AIG 556|2697
42570|41 J 4082|2695
41507|41 AIG 507|2693
41039|41 HB 639|2691
41300|41 BR 300|2690
41602|41 AIG 602|2688
41517|41 AIG 517|2688
42163|41 J 4029|2686
42613|41 J 4087|2684
41508|41 AIG 508|2684
41776|41 ATT 776|2683
42352|41 J 4229|2681
42750|41 J 4015|2681
42321|41 J 4226|2680
41614|41 AIG 614|2676
42246|41 J 4024|2673
41553|41 AIG 553|2673
41541|41 AIG 541|2672
41604|41 AIG 604|2671
41509|41 AIG 509|2671
41756|41 ATT 756|2668
41613|41 AIE 613|2668
41323|41 BR 323|2667
42159|41 J 4025|2666
41372|41 BR 372|2666
42784|41 HO 4068|2665
41293|41 BR 293|2664
41532|41 AIG 532|2661
41650|41 AKN 650|2660
42785|41 J 4070|2659
41253|41 BR 253|2657
41206|41 BR 206|2657
42739|41 J 4077|2656
41546|41 AIG 546|2655
41033|41 HB 633|2652
42576|41 J 4075|2649
41380|41 BR 380|2643
41312|41 BR 312|2643
41580|41 AIG 580|2640
38077|41 NT 100|2638
42639|41 J 4276|2636
41691|41 ALL 691|2635
42769|41 J 4322|2634
42705|41 J 4054|2633
41528|41 AIG 528|2633
41343|41 BR 343|2632
42481|41 J 4330|2630
42532|41 J 4305|2630
44430|41 J 0262|2630
41382|41 BR 382|2629
41348|41 BR 348|2629
41759|41 ATT 759|2627
14006|41 J 3087|2625
41503|41 AIG 503|2625
41575|41 AIG 575|2624
41638|41 AKH 638|2623
42388|41 J 4051|2619
42782|41 J 4005|2619
42725|41 J 4363|2617
42648|41 J 4313|2617
